Respondent_ID,Gender,Age_Group,Experience_Years,Employment_Sector,Current_Monthly_Salary,Salary_Adequacy,Salary_Adequacy_score,Income_Expenditure,Debt_Status,Food & Groceries,Food_score_Num,Transport_Score,Transportataion_score_Num,Healthcare_score,Healthcare_score_Num,Savings_Behaviour,Coping_Strategy
128,Male,46 and above,3 years and above,Self-employed but on a fixed monthly salary,"Below #50,000","It covers much less than before, I struggle significantly",4,51% - 70%,"Yes, regularly, I borrow almost every month",Slightly Affected,2,Slightly Affected,2,Extremely Affected,5,"I have completely stopped saving , there is nothing left to save",Borrowing money or taking loans
129,Female,46 and above,3 years and above,Self-employed but on a fixed monthly salary,"Below #50,000",It covers about the same as before,2,50% or less,"Yes, occasionally, I borrow when things get too tight",Slightly Affected,2,Slightly Affected,2,Extremely Affected,5,"I have completely stopped saving , there is nothing left to save",Taking on an additional job or side hustle
130,Male,26-35,3 years and above,Self-employed but on a fixed monthly salary,"Below #50,000",It covers about the same as before,2,50% or less,"Yes, occasionally, I borrow when things get too tight",Slightly Affected,2,Extremely Affected,5,Not Affected at all,0,I save much less than I used to,Taking on an additional job or side hustle
131,Male,18-25,3 years and above,Private sector,"Below #50,000","It covers much less than before, I struggle significantly",4,50% or less,"Yes, occasionally, I borrow when things get too tight",Extremely Affected,5,Slightly Affected,2,Not Affected at all,0,"I have completely stopped saving , there is nothing left to save",Taking on an additional job or side hustle
132,Female,18-25,3 years and above,Private sector,"Below #50,000","It covers much less than before, I struggle significantly",4,50% or less,"Yes, regularly, I borrow almost every month",Not Affected at all,0,Not Affected at all,0,Not Affected at all,0,"I have completely stopped saving , there is nothing left to save",Borrowing money or taking loans
133,Male,18-25,3 years and above,Public sector (Government/Civil Service),"Below #50,000","It covers much less than before, I struggle significantly",4,50% or less,"Yes, regularly, I borrow almost every month",Not Affected at all,0,Slightly Affected,2,Not Affected at all,0,"I have completely stopped saving , there is nothing left to save",Taking on an additional job or side hustle
134,Male,18-25,3 years and above,Private sector,"Below #50,000",It covers about the same as before,2,50% or less,"No, but I have completely depleted my savings to cope",Slightly Affected,2,Not Affected at all,0,Moderately Affected,3,"I have completely stopped saving , there is nothing left to save",Borrowing money or taking loans
135,Female,46 and above,3 years and above,Public sector (Government/Civil Service),"#50,000 - #150,000","It covers much less than before, I struggle significantly",4,50% or less,"No, but I have completely depleted my savings to cope",Slightly Affected,2,Not Affected at all,0,Extremely Affected,5,"I have completely stopped saving , there is nothing left to save",Borrowing money or taking loans
136,Male,46 and above,3 years and above,Private sector,"Below #50,000",It covers about the same as before,2,71% - 90%,"Yes, regularly, I borrow almost every month",Slightly Affected,2,Slightly Affected,2,Extremely Affected,5,"I have completely stopped saving , there is nothing left to save",Borrowing money or taking loans
137,Male,46 and above,3 years and above,Private sector,"Below #50,000","It covers much less than before, I struggle significantly",4,50% or less,"No, but I have completely depleted my savings to cope",Not Affected at all,0,Not Affected at all,0,Extremely Affected,5,"I have completely stopped saving , there is nothing left to save",Borrowing money or taking loans
138,Female,46 and above,3 years and above,Private sector,"Below #50,000",It covers about the same as before,2,More than 90%,"Yes, regularly, I borrow almost every month",Extremely Affected,5,Not Affected at all,0,Extremely Affected,5,"I have completely stopped saving , there is nothing left to save",Borrowing money or taking loans
